Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g),Source
"Flour, oat, whole grain",,13.2,6.31,69.9,USDA
"Flour, potato",,8.11,0.951,79.9,USDA
"Peanut butter, creamy",,24.0,49.4,22.7,USDA
"Sesame butter, creamy",,19.7,62.4,14.2,USDA
"Almond butter, creamy",,20.8,53.0,21.2,USDA
"Flaxseed, ground",,18.0,37.3,34.4,USDA
"Cottage cheese, full fat, large or small curd",,11.6,4.22,4.6,USDA
"Cream cheese, full fat, block",,5.79,33.5,4.56,USDA
"Cream, heavy",,2.02,35.6,3.8,USDA
"Cream, sour, full fat",,3.07,18.0,5.56,USDA
"Lettuce, iceberg, raw",,0.742,0.074,3.37,USDA
"Lettuce, romaine, green, raw",,0.977,0.071,4.06,USDA
"Lettuce, leaf, red, raw",,0.883,0.106,3.26,USDA
"Lettuce, leaf, green, raw",,1.09,0.156,4.07,USDA
"Nuts, pine nuts, raw",,15.7,61.3,18.6,USDA
"Nuts, almonds, whole, raw",,21.5,51.1,20.0,USDA
"Nuts, walnuts, English, halves, raw",,14.6,69.7,10.9,USDA
"Nuts, pecans, halves, raw",,9.96,73.3,12.7,USDA
"Oats, whole grain, rolled, old fashioned",,13.5,5.89,68.7,USDA
"Oats, whole grain, steel cut",,12.5,5.8,69.8,USDA
"Pineapple, raw",,0.461,0.211,14.1,USDA
"Cherries, sweet, dark red, raw",,1.04,0.192,16.2,USDA
"Beans, snap, green, raw",,1.97,0.275,7.41,USDA
"Potatoes, russet, without skin, raw",,2.27,0.36,17.8,USDA
"Potatoes, red, without skin, raw",,2.06,0.248,16.3,USDA
"Potatoes, gold, without skin, raw",,1.81,0.264,16.0,USDA
"Sweet potatoes, orange flesh, without skin, raw",,1.58,0.375,17.3,USDA
"Celery, raw",,0.492,0.162,3.32,USDA
"Cucumber, with peel, raw",,0.625,0.178,2.95,USDA
"Cabbage, green, raw",,0.961,0.228,6.38,USDA
"Cabbage, red, raw",,1.24,0.214,6.79,USDA
"Strawberries, raw",,0.641,0.22,7.96,USDA
